"flight_line_id","basin_id","channel_id","date","time","utc_time","CoordX","CoordY","longitude","latitude","channel_dist","water_surface_elevation_WGS84","water_surface_elevation_NAVD88","water_surface_elevation_uncertainty","water_area"
20210912030440,"ATCHA","WLD_Greg","2021-09-12","03:08:08",11288,651390,3264010,-91.43826522,29.49648557,28442.2,-25.99,0.48,0.07,1.463
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,649810,3263930,-91.45457051,29.49595219,-9999,-26,0.47,0.07,0.766
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,650670,3263490,-91.4457621,29.49188195,-9999,-25.99,0.48,0.07,1.57
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,649710,3263410,-91.45567288,29.49127695,-9999,-25.99,0.47,0.07,0.88
20210912030440,"ATCHA","WLD_Greg","2021-09-12","03:08:08",11288,651320,3263430,-91.43906742,29.49126065,29025.47,-25.98,0.48,0.07,1.739
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,651720,3263120,-91.4349855,29.48841625,-9999,-25.97,0.48,0.07,1.335
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,650730,3263000,-91.44521088,29.4874538,-9999,-25.98,0.48,0.07,1.069
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,649580,3262880,-91.45708599,29.4865097,-9999,-25.99,0.46,0.07,0.213
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,650190,3262720,-91.45081783,29.48499253,30038.39,-25.98,0.47,0.07,0.952
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,651040,3262500,-91.44208324,29.48290672,-9999,-25.97,0.48,0.07,1.082
20210912030440,"ATCHA","WLD_Greg","2021-09-12","03:08:08",11288,651490,3262390,-91.4374583,29.48185887,30046.99,-25.96,0.48,0.07,0.906
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,650600,3262370,-91.44663815,29.48178542,-9999,-25.97,0.47,0.07,0.992
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,649660,3262330,-91.45633633,29.48153638,-9999,-25.98,0.46,0.07,0.594
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,650180,3262020,-91.45101698,29.4786747,30737.51,-25.98,0.46,0.07,0.977
20210912030440,"ATCHA","WLD_Greg","2021-09-12","03:08:08",11288,651520,3261920,-91.43721403,29.47761527,30517.81,-25.95,0.49,0.07,0.549
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,650730,3261860,-91.44536785,29.47716791,-9999,-25.96,0.47,0.07,0.984
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,649160,3261900,-91.46155051,29.47771796,-9999,-25.99,0.45,0.07,0.285
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,649670,3261840,-91.45630025,29.47711424,31010.6,-25.98,0.46,0.07,0.832
20210912030440,"ATCHA","WLD_Greg","2021-09-12","03:08:08",11288,651140,3261540,-91.44118459,29.47423375,30928.4,-25.95,0.48,0.07,0.727
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,650150,3261460,-91.4514031,29.47362922,31298.3,-25.97,0.46,0.07,0.99
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,650640,3261350,-91.44636606,29.47257689,31471.05,-25.96,0.47,0.07,0.99
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,649140,3261390,-91.46182636,29.47311846,-9999,-25.98,0.45,0.07,0.431
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,649640,3261360,-91.45667512,29.47278906,31475.28,-25.98,0.45,0.07,0.925
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,651150,3260990,-91.44115741,29.46926883,-9999,-25.95,0.48,0.07,0.583
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,650150,3260920,-91.45147713,29.46875766,31837.81,-25.96,0.46,0.07,0.99
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,649145,3260885,-91.46184349,29.46856377,-9999,-25.98,0.44,0.07,0.601
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,649650,3260880,-91.45663765,29.46845568,31940.17,-25.97,0.45,0.07,0.99
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,650650,3260850,-91.4463317,29.46806601,31955.84,-25.95,0.47,0.07,0.977
